track_name,track_artist,track_popularity,track_album_name,track_album_release_date,playlist_genre,playlist_subgenre,danceability,energy,tempo,liveness
Lovers + Strangers,Starley,58,Lovers + Strangers,2019-10-11,pop,dance pop,0.653,0.69,110.214,0.136
Sad Song (feat. TINI),Alesso,72,Sad Song (feat. TINI),2019-06-14,pop,dance pop,0.734,0.693,110.021,0.341
Sleepless Nights,ayokay,64,In the Shape of a Dream,2018-08-31,pop,dance pop,0.663,0.696,139.98,0.226
Save Me Tonight,ARTY,63,Save Me Tonight,2019-01-25,pop,dance pop,0.55,0.899,125.85,0.137
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,77,Pretty Girl (Cheat Codes X CADE Remix),2017-03-02,pop,dance pop,0.703,0.868,121.03,0.104
No Sleep (feat. Bonn),Martin Garrix,76,No Sleep (feat. Bonn),2019-02-21,pop,dance pop,0.44,0.635,128.133,0.121
Feel Good (feat. Daya),Gryffin,74,Feel Good (feat. Daya),2017-03-03,pop,dance pop,0.625,0.707,138.064,0.213
Endless Summer,Cashae,56,Endless Summer,2019-07-12,pop,dance pop,0.625,0.719,101.091,0.0668
Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,77,Faith (with Dolly Parton) [feat. Mr. Probz],2019-10-25,pop,dance pop,0.547,0.795,118.118,0.11
Think About You,Kygo,71,Think About You,2019-02-14,pop,dance pop,0.673,0.596,123.969,0.11
Party For One,Carly Rae Jepsen,64,Dedicated,2019-05-17,pop,dance pop,0.699,0.633,123.449,0.101
Ritual,Tiësto,82,Ritual,2019-05-31,pop,dance pop,0.647,0.726,114.996,0.0844
Electricity (with Dua Lipa),Silk City,81,Electricity (with Dua Lipa),2018-09-06,pop,dance pop,0.588,0.67,118.159,0.338
Lie,Shallou,41,Lie,2018-01-25,pop,dance pop,0.655,0.427,107.992,0.0788
I Found You (with Calvin Harris),benny blanco,62,FRIENDS KEEP SECRETS,2018-12-07,pop,dance pop,0.79,0.865,122.99,0.24
Now That I Found You,Carly Rae Jepsen,5,Now That I Found You / No Drug Like Me,2019-02-27,pop,dance pop,0.611,0.737,124.169,0.107
All Comes Back To You,R3HAB,72,All Comes Back To You,2019-10-25,pop,dance pop,0.726,0.763,128.02,0.0943
Need U,DVBBS,24,Need U,2019-08-16,pop,dance pop,0.714,0.705,114.994,0.126
First Love,Lost Kings,58,First Love,2017-10-13,pop,dance pop,0.619,0.938,94.38,0.128
Something Real,Armin van Buuren,65,Something Real,2019-07-12,pop,dance pop,0.575,0.808,127.922,0.0693
TIME,Alesso,64,ALESSO MIXTAPE - PROGRESSO VOLUME 1,2019-03-08,pop,dance pop,0.768,0.808,119.971,0.343
Something About You (with Rudimental),Elderbrook,53,Distinction EP,2019-08-09,pop,dance pop,0.767,0.605,107.042,0.193
Home (feat. Bonn),Martin Garrix,72,Home (feat. Bonn),2019-08-16,pop,dance pop,0.466,0.612,128.114,0.132
Simple (STVW Remix),FANNYPACK,39,Simple (STVW Remix),2019-04-12,pop,dance pop,0.434,0.917,121.967,0.289
Sorry,Joel Corry,75,Sorry,2019-04-05,pop,dance pop,0.744,0.79,125.002,0.32
Spicy (with Diplo & Charli XCX),Herve Pagez,60,Spicy (with Diplo & Charli XCX),2019-05-30,pop,dance pop,0.837,0.818,109.993,0.11
The Upside (feat. Elle King),Lindsey Stirling,18,The Upside (feat. Elle King) / The Upside / Underground,2019-08-02,pop,dance pop,0.514,0.856,117.014,0.544
Stay,Zedd,79,Stay,2017-02-23,pop,dance pop,0.69,0.622,102.04,0.116
Million Voices,Armin van Buuren,60,Balance,2019-10-25,pop,dance pop,0.466,0.869,126.113,0.115
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,83,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018-09-28,pop,dance pop,0.842,0.801,95.881,0.0642
Closer (feat. Halsey),The Chainsmokers,85,Closer (feat. Halsey),2016-07-29,pop,dance pop,0.748,0.524,95.01,0.111
Say My Name (feat. Zyra) - RAC Mix,ODESZA,47,Say My Name Remixes,2014-10-13,pop,dance pop,0.647,0.624,115.002,0.0616
Clarity,Zedd,74,Clarity,2012-01-01,pop,dance pop,0.509,0.781,128,0.0749
Solo (feat. Demi Lovato),Clean Bandit,80,Solo (feat. Demi Lovato),2018-05-17,pop,dance pop,0.737,0.636,105.005,0.35
Scared to Be Lonely,Martin Garrix,81,Scared to Be Lonely,2017-01-27,pop,dance pop,0.584,0.54,137.972,0.261
Friends (with BloodPop®),Justin Bieber,76,Friends (with BloodPop®),2017-08-17,pop,dance pop,0.743,0.733,104.977,0.304
RITMO (Bad Boys For Life),The Black Eyed Peas,96,RITMO (Bad Boys For Life),2019-10-12,pop,dance pop,0.721,0.716,104.994,0.237
Promises (with Sam Smith),Calvin Harris,84,Promises (with Sam Smith),2018-08-17,pop,dance pop,0.781,0.768,123.07,0.325
Turn Me On (feat. Vula),Riton,86,Turn Me On (feat. Vula),2019-09-13,pop,dance pop,0.737,0.828,124.052,0.0862
Light,San Holo,68,Light,2017-02-10,pop,dance pop,0.57,0.763,150.088,0.0932
2U,David Guetta,66,2U,2017-06-09,pop,dance pop,0.551,0.651,144.875,0.224
Something Just Like This,The Chainsmokers,83,Memories...Do Not Open,2017-04-07,pop,dance pop,0.617,0.635,103.019,0.164
One Kiss (with Dua Lipa),Calvin Harris,85,One Kiss (with Dua Lipa),2018-04-06,pop,dance pop,0.791,0.862,123.994,0.0814
Heroes (we could be),Alesso,73,Forever,2015-05-26,pop,dance pop,0.503,0.748,125.896,0.343
It Ain’t Me (with Selena Gomez),Kygo,69,It Ain't Me,2017-02-17,pop,dance pop,0.64,0.533,99.968,0.0864
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,69,R.E.D. (Deluxe Edition),2012-01-01,pop,dance pop,0.658,0.677,124.91,0.368
Let Me Love You,DJ Snake,81,Encore,2016-08-05,pop,dance pop,0.649,0.716,99.988,0.135
Roses,The Chainsmokers,73,Roses,2015-06-16,pop,dance pop,0.713,0.802,100.001,0.309
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,61,Clarity (Deluxe),2012,pop,dance pop,0.596,0.738,127.961,0.0947
Latch,Disclosure,19,Settle,2013-01-01,pop,dance pop,0.503,0.727,121.985,0.0895
Flames,David Guetta,57,7,2018-09-14,pop,dance pop,0.609,0.726,93.958,0.0895
Sorry,Justin Bieber,81,Purpose (Deluxe),2015-11-13,pop,dance pop,0.654,0.76,99.945,0.299
This Is What You Came For,Calvin Harris,79,This Is What You Came For,2016-04-29,pop,dance pop,0.63,0.928,123.963,0.148
Wake Me Up,Avicii,84,True,2013-01-01,pop,dance pop,0.532,0.783,124.08,0.161
In My Mind,Dynoro,84,In My Mind,2018-06-08,pop,dance pop,0.694,0.77,125.905,0.118
Titanium (feat. Sia),David Guetta,66,Nothing but the Beat 2.0,2011-08-26,pop,dance pop,0.604,0.787,126.062,0.127
Where Are Ü Now,Skrillex,8,Purpose (Deluxe),2015-11-13,pop,dance pop,0.432,0.74,139.42,0.14
Firework,Katy Perry,64,Teenage Dream,2010-01-01,pop,dance pop,0.638,0.832,124.071,0.113
Mi Gente (feat. Beyoncé),J Balvin,61,Mi Gente (feat. Beyoncé),2017-09-28,pop,dance pop,0.759,0.716,105.009,0.231
Don't You Worry Child - Radio Edit,Swedish House Mafia,27,Until Now,2012-01-01,pop,dance pop,0.614,0.832,129.038,0.185
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,74,TROLLS (Original Motion Picture Soundtrack),2016-09-23,pop,dance pop,0.669,0.832,113.035,0.0968
Anything Could Happen,Ellie Goulding,57,Halcyon,2012-01-01,pop,dance pop,0.702,0.781,102.997,0.135
Poker Face,Lady Gaga,69,The Fame,2008-01-01,pop,dance pop,0.851,0.806,119.001,0.121
How Deep Is Your Love,Calvin Harris,77,How Deep Is Your Love,2015-07-17,pop,dance pop,0.738,0.868,122.003,0.388
In Your Eyes (feat. Alida),Robin Schulz,74,In Your Eyes (feat. Alida),2020-01-10,pop,dance pop,0.57,0.672,120.019,0.0768
Wish You Well (with Sigala),Sigala,5,Get To Know,2019-09-27,pop,dance pop,0.67,0.89,124.967,0.333
With You - LöKii Remix,Kaskade,57,With You - The Remixes,2019-09-12,pop,dance pop,0.708,0.727,120.012,0.37
Dive,Hot Shade,68,Dive,2019-12-20,pop,dance pop,0.654,0.787,123.978,0.144
No Goodbye,Paul Kalkbrenner,65,No Goodbye,2019-07-26,pop,dance pop,0.945,0.584,124.996,0.147
Work,MOTi,58,Work,2019-01-25,pop,dance pop,0.704,0.929,126.055,0.181
Instagram,Dimitri Vegas & Like Mike,81,Instagram,2019-07-05,pop,dance pop,0.765,0.906,96.071,0.423
Better Off Without You (feat. Shift K3Y),Becky Hill,68,Better Off Without You (feat. Shift K3Y),2020-01-10,pop,dance pop,0.682,0.855,124.004,0.101
Butterfly,Molella,43,Butterfly,2019-06-21,pop,dance pop,0.627,0.662,124.039,0.143
All The Love You Got,MOTi,57,All The Love You Got,2019-12-20,pop,dance pop,0.762,0.736,126.007,0.113
Call You Mine - Asketa & Natan Chaim Remix,The Chainsmokers,58,Call You Mine - The Remixes,2019-07-19,pop,dance pop,0.577,0.844,115.066,0.499
Love Is Not Enough,GATTÜSO,58,Love Is Not Enough,2019-12-19,pop,dance pop,0.632,0.816,127.95,0.119
Lose Control,MEDUZA,91,Lose Control,2019-10-11,pop,dance pop,0.598,0.526,123.935,0.14
I Wanna Dance,Jonas Blue,67,I Wanna Dance,2019-07-19,pop,dance pop,0.825,0.841,126.026,0.258
After The Landslide - Club Remix,Matt Simons,42,After The Landslide (Remix),2019-09-19,pop,dance pop,0.63,0.731,119.997,0.704
Midnight Hour with Boys Noize & Ty Dolla $ign,Skrillex,70,Midnight Hour with Boys Noize & Ty Dolla $ign,2019-08-29,pop,dance pop,0.795,0.899,125.978,0.199
Pon de Replay,Ed Marquis,64,Pon de Replay,2017-04-28,pop,dance pop,0.529,0.717,103.99,0.0363
So Close,NOTD,79,So Close (feat. Georgia Ku),2018-11-02,pop,dance pop,0.7,0.872,125.03,0.103
Look Into My Eyes,Brando,48,Look Into My Eyes,2020-01-10,pop,dance pop,0.791,0.541,115.987,0.121
Not in Control,Glaceo,53,Not in Control,2019-12-20,pop,dance pop,0.904,0.633,121.995,0.163
BLUE,Tiësto,75,BLUE,2019-12-13,pop,dance pop,0.744,0.725,118.034,0.212
Don't Waste My Time,Kharfi,46,Don't Waste My Time,2019-11-08,pop,dance pop,0.772,0.687,118.116,0.834
Beat Of My Heart,Lost Frequencies,67,Alive And Feeling Fine,2019-10-04,pop,dance pop,0.706,0.524,111.991,0.109
Don't Start Now - Kungs Remix,Dua Lipa,65,Don't Start Now (Kungs Remix),2019-12-18,pop,dance pop,0.664,0.699,122.019,0.0612
Drunken Truth,Steve Void,56,The Seed EP,2019-12-20,pop,dance pop,0.781,0.745,110.051,0.106
Jacques,Jax Jones,42,Jacques,2019-08-28,pop,dance pop,0.789,0.547,120.024,0.0782
Something Real,Armin van Buuren,58,Balance,2019-10-25,pop,dance pop,0.575,0.808,127.922,0.0693
Stay (Don't Go Away) [feat. Raye],David Guetta,74,Stay (Don't Go Away) [feat. Raye],2019-05-09,pop,dance pop,0.669,0.797,119.865,0.199
Solid Gold,PNAU,65,Solid Gold,2019-05-02,pop,dance pop,0.567,0.946,104.983,0.0836
One Life,Mike Perry,64,One Life,2019-09-27,pop,dance pop,0.653,0.757,128.015,0.242
All ‘Bout The Money,FAULHABER,51,All ‘Bout The Money,2019-10-18,pop,dance pop,0.721,0.779,110.026,0.143
Never Letting Go,Audien,63,Never Letting Go,2018-11-09,pop,dance pop,0.534,0.765,127.978,0.225
Used To Love (with Dean Lewis),Martin Garrix,83,Used To Love (with Dean Lewis),2019-10-31,pop,dance pop,0.651,0.693,118.97,0.335
Giulia,Prince Paris,55,Giulia,2019-11-29,pop,dance pop,0.682,0.923,130.052,0.242
What Do I Do? - Benny Benassi Remix,Georgia Ku,39,What Do I Do? (Benny Benassi Remix),2019-10-18,pop,dance pop,0.66,0.827,115.349,0.0923
Dreams Of You (feat. Rae Morris),Icarus,48,Dreams Of You (feat. Rae Morris),2019-10-04,pop,dance pop,0.57,0.965,123.008,0.201
